Year,Week,Winning Team,Winning Score,Losing Team,Losing Score
2013,Week 5,The_Dark_Side,109.86,Grid Iron Anemia,61.58
2013,Week 5,Sconstance,149.24,The Moose Whisperers,74.76
2013,Week 5,istilldontknowstuff,120.32,Black Bears,100.52
2013,Week 6,The Moose Whisperers,91.8,The Brute Squad,87.38
2013,Week 6,Non-fiction People,96.68,Avengers Athletics,89.62
2013,Week 6,Fighting Americans,108.48,Grid Iron Anemia,96.76
2013,Week 6,istilldontknowstuff,119.54,The_Dark_Side,64.2
2013,Week 6,Black Bears,105.38,Sconstance,59.3
2013,Week 7,The Brute Squad,108.52,Black Bears,101.82
2013,Week 7,The Moose Whisperers,98.2,Non-fiction People,79.4
2013,Week 7,Avengers Athletics,101.28,Grid Iron Anemia,75.12
2013,Week 7,The_Dark_Side,132.24,Fighting Americans,79.06
2013,Week 7,Sconstance,67.08,istilldontknowstuff,52.7
2013,Week 8,Sconstance,97.94,The Brute Squad,67.12
2013,Week 8,Black Bears,94.08,Non-fiction People,83.94
2013,Week 8,The Moose Whisperers,104.8,Grid Iron Anemia,83.14
2013,Week 8,The_Dark_Side,90.26,Avengers Athletics,87.42
2013,Week 8,Fighting Americans,134.76,istilldontknowstuff,109.98
2013,Week 9,The Brute Squad,126.04,istilldontknowstuff,113.08
2013,Week 9,Sconstance,105.98,Non-fiction People,84.04
2013,Week 9,Grid Iron Anemia,140.7,Black Bears,91.34
2013,Week 9,the_Dark_Side,120.66,The Moose Whisperers,77.28
2013,Week 9,Fighting Americans,67,Avengers Athletics,65.96
2013,Week 10,Non-fiction People,96.92,The Brute Squad,75.52
2013,Week 10,Grid Iron Anemia,86.64,Sconstance,76.82
2013,Week 10,The_Dark_Side,102.9,Black Bears,95.54
2013,Week 10,Fighting Americans,85.74,The Moose Whisperers,83.96
2013,Week 10,istilldontknowstuff,116.08,Avengers Athletics,89.86
2013,Week 11,Grid Iron Anemia,105.1,The Brute Squad,87.32
2013,Week 11,Non-fiction People,101.96,istilldontknowstuff,78.2
2013,Week 11,The_Dark_Side,103.82,Sconstance,75.92
2013,Week 11,Black Bears,120.66,Fighting Americans,72.38
